Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_34_segment_Lt Occipital Inf	1: RTSTRUCT: ANON_34_segment_Rt Parietal	1: RTSTRUCT: ANON_34_segment_Lt Para median	1: RTSTRUCT: ANON_34_segment_Lt Frontal Cavity	1: RTSTRUCT: ANON_34_segment_L superior parietal	1: RTSTRUCT: ANON_34_segment_L occipital1	1: RTSTRUCT: ANON_34_segment_L occipital2	1: RTSTRUCT: ANON_34_segment_L occipital3
square	glcm	Idm	0.3678398642705909	0.4208950663944773	0.5074432286520698	0.5337238588831152	0.4729248366013072	0.32278785766846513	0.36697170978845184	0.3570060331825038
square	glcm	Idmn	0.9405230093063243	0.9498146582980803	0.9723959401623278	0.9786559938353933	0.9386856819534114	0.9336882424449358	0.8841461854229824	0.8682623428338296
square	glcm	Id	0.4470707605985398	0.4878888330293471	0.5560236902087385	0.5792068930044276	0.5277777777777778	0.4047731775155822	0.449732905982906	0.4404487179487179
square	glcm	Idn	0.8369667303177472	0.8543324521081999	0.8883127884389483	0.9133213206566968	0.8443876262626264	0.8314155154852911	0.7797172734672735	0.7573285510785511
square	glcm	InverseVariance	0.36902956595009895	0.40551898286470006	0.4733481655329475	0.40853974526670533	0.44498456790123453	0.3372161460327063	0.33718779677113014	0.3857549857549857
square	glcm	MaximumProbability	0.06166341804905374	0.07662601980633367	0.08309795443027607	0.09966230085124894	0.38749999999999996	0.06916302023768087	0.18429487179487178	0.32564102564102565
square	glcm	SumEntropy	3.3357274932237138	3.3569722601229897	3.281163830893278	3.8074829090087254	0.9178150992680858	3.4067374810971414	2.1851616723922374	0.92810848912345
square	glcm	SumSquares	3.400987348040177	3.0827657919130513	2.5727082916436954	4.420783451987057	1.5445601851851851	7.767628043195395	2.4879770595916426	1.7611271367521368
square	glrlm	GrayLevelNonUniformity	15.014015644371964	16.451532197908524	23.6694212453645	1384.4898881375161	2.541919191919192	4.383523987674802	4.072606478488831	2.096947496947497
square	glrlm	GrayLevelNonUniformityNormalized	0.15009101520170162	0.1560512266941424	0.16877354167836792	0.12292262733794333	0.22096571778389962	0.1117200857010874	0.24393743277434987	0.21990852181328374
square	glrlm	GrayLevelVariance	3.4151789170152878	3.3222804462456454	3.268585232971229	5.1651434452122436	2.9310845194367925	7.886587213828561	2.6062225074376997	2.2557724286295713
square	glrlm	HighGrayLevelRunEmphasis	23.000749948962078	30.317349959027407	34.678263461749694	69.77414871928207	12.700631313131312	33.72070295075337	14.322471809236516	11.751282051282054
square	glrlm	LongRunEmphasis	1.379816124482799	1.4688978098694556	1.6566790951394945	2.8361140655095483	1.1409090909090909	1.2240052193205966	1.2549612152553329	1.1758241758241759
square	glrlm	LongRunHighGrayLevelEmphasis	31.144150358770442	44.44539552505036	57.48268616697318	224.54573599958036	13.598358585858584	40.178958800576034	18.371162824104005	14.28974358974359
square	glrlm	LongRunLowGrayLevelEmphasis	0.17672384632260812	0.09366728375050694	0.1407048588189732	0.04984558204860211	0.3885389080716462	0.2258519400036922	0.2496488085262595	0.33843640618640625
square	glrlm	LowGrayLevelRunEmphasis	0.12589920023552784	0.07091069765524906	0.08559061694922107	0.022236053150327225	0.3134915595867977	0.1807283158285382	0.21252620563895075	0.2920261497761497
square	glrlm	RunEntropy	3.2566894190231896	3.3628277048721427	3.3988000947964654	4.259093326346904	2.454059501963929	3.4818062156509555	2.395060804945439	2.3033285485659905
square	glrlm	RunLengthNonUniformity	83.48430335035866	82.55151606825915	104.33956912263521	6842.394859350543	10.627272727272727	34.42599229482285	14.521073044602455	8.864468864468865
square	glrlm	RunLengthNonUniformityNormalized	0.8216230899092684	0.7801720863708078	0.7381777930729643	0.6054473421856997	0.918236914600551	0.8710653335835209	0.8599579628231382	0.9167393453107737
square	glrlm	RunPercentage	0.9022869022869021	0.8782051282051282	0.8456904541241891	0.7168094795083972	0.9583333333333331	0.9340659340659342	0.9273504273504275	0.9538461538461539
square	glrlm	RunVariance	0.11695153019279757	0.160960184724138	0.23785553527170583	0.8685285227938853	0.040881542699724514	0.06446733320823941	0.07002101858843085	0.04163032734461306
square	glrlm	ShortRunEmphasis	0.9176431330973738	0.9039391858739256	0.8810993702318778	0.8058891950007366	0.9647727272727272	0.9439986951698509	0.9362596961861668	0.956043956043956
square	glrlm	ShortRunHighGrayLevelEmphasis	21.19355879757167	27.4111134836078	30.471898843661215	54.64364500628047	12.476199494949496	32.1061389882977	13.310299055519645	11.116666666666667
square	glrlm	ShortRunLowGrayLevelEmphasis	0.11464546694802585	0.06602103525017784	0.07708559762501631	0.0189369325679178	0.29472972246558554	0.1694474097847497	0.20324555491712357	0.2804235856735857
square	glszm	GrayLevelNonUniformity	2.789473684210526	3.25	3.0	123.5724197745013	1.2857142857142858	1.8235294117647058	1.3333333333333333	1.0
square	glszm	GrayLevelNonUniformityNormalized	0.14681440443213298	0.13541666666666666	0.13636363636363635	0.1071746919119699	0.1836734693877551	0.10726643598615918	0.2222222222222222	0.2
square	glszm	GrayLevelVariance	5.163434903047092	6.109374999999999	5.059917355371901	7.030590284855901	3.387755102040816	8.795847750865052	3.1388888888888884	2.0
square	glszm	HighGrayLevelZoneEmphasis	23.789473684210527	32.375	34.31818181818182	55.67909800520382	16.142857142857142	36.8235294117647	13.166666666666666	11.0
square	glszm	LargeAreaEmphasis	67.21052631578948	68.5	164.72727272727272	20922.107545533392	3.7142857142857144	8.588235294117647	12.666666666666666	4.4
square	glszm	LargeAreaHighGrayLevelEmphasis	1453.578947368421	1956.9583333333333	5986.5	1730330.175195143	34.42857142857143	271.29411764705884	169.0	59.4
square	glszm	LargeAreaLowGrayLevelEmphasis	6.623279859702166	3.141940737328882	7.888747337318767	288.8699223173515	1.5245027534823452	1.3681696719857213	1.8840740740740742	1.173388888888889
square	glszm	LowGrayLevelZoneEmphasis	0.15074025175372294	0.1167590952275972	0.09532540541469113	0.0381440454792105	0.22787576935536122	0.17476119748480967	0.2798148148148148	0.2927222222222222
square	glszm	SizeZoneNonUniformity	3.210526315789474	5.0	3.8181818181818183	312.95836947094534	3.0	4.882352941176471	1.6666666666666667	2.2
square	glszm	SizeZoneNonUniformityNormalized	0.16897506925207756	0.20833333333333334	0.17355371900826447	0.27142963527402025	0.42857142857142855	0.28719723183391005	0.2777777777777778	0.44
square	glszm	SmallAreaEmphasis	0.3657888599841382	0.44292092912782394	0.3763743255429677	0.5342040359801417	0.638888888888889	0.4801960784313726	0.2904383975812547	0.37222222222222223
square	glszm	SmallAreaHighGrayLevelEmphasis	7.636060169746433	12.87158822016461	15.327915444588882	29.79830989575511	13.15873015873016	20.258692810457518	2.035241874527589	4.455555555555556
square	glszm	SmallAreaLowGrayLevelEmphasis	0.06060125173285414	0.06227540505033268	0.01845351269690543	0.02117363239639299	0.08008586635712486	0.0492605157306265	0.09538307298227933	0.08144444444444444
square	glszm	ZoneEntropy	3.826874881864633	4.001629167387817	4.3685225277282	5.8939474966371685	2.807354922057602	3.9698157824268043	2.5849625007211543	2.321928094887361
square	glszm	ZonePercentage	0.17117117117117117	0.2	0.13253012048192772	0.07339274347549332	0.5833333333333334	0.40476190476190477	0.3333333333333333	0.5
square	glszm	ZoneVariance	33.0803324099723	43.5	107.79338842975207	20736.458057678265	0.7755102040816326	2.484429065743945	3.6666666666666665	0.4
square	gldm	DependenceEntropy	4.899353119539444	5.076025154441374	5.459722058469899	6.963416865924934	2.855388542207531	4.3000721137090565	3.044110417748398	2.246439344671014
square	gldm	DependenceNonUniformity	23.396396396396398	17.116666666666667	20.46987951807229	951.9612985359644	4.0	10.238095238095237	5.555555555555555	4.6
square	gldm	DependenceNonUniformityNormalized	0.21077834591348105	0.1426388888888889	0.12331252721730294	0.06059588151088252	0.3333333333333333	0.2437641723356009	0.30864197530864196	0.46
square	gldm	DependenceVariance	1.743851960068176	4.888888888888888	6.144433154303962	30.21072176677778	0.6666666666666666	1.4421768707482994	0.8765432098765431	0.36
square	gldm	GrayLevelNonUniformity	16.71171171171171	19.433333333333334	28.987951807228917	2139.2056015276894	2.6666666666666665	4.714285714285714	4.444444444444445	2.2
