Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_49_segment_Lt Frontal	1: RTSTRUCT: ANON_49_segment_Left Ventricle	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal	1: RTSTRUCT: ANON_49_segment_Rt Post Parietal 2	1: RTSTRUCT: ANON_49_segment_Lt inf Frontal	1: RTSTRUCT: ANON_49_segment_Lt Hippocampal	1: RTSTRUCT: ANON_49_segment_Rt Sup Cerebellar	1: RTSTRUCT: ANON_49_segment_Lt lat Frontal
log-sigma-5-0-mm-3D	glcm	DifferenceEntropy	0.8163411248775745	0.40873868392169815	-3.2034265038149176e-16	0.5942289392269825	-3.2034265038149176e-16	0.41773109956812454	-3.2034265038149176e-16	-3.203426503814917e-16
log-sigma-5-0-mm-3D	glcm	DifferenceVariance	0.1898040769667728	0.07567823750533427	0.0	0.12617815532066506	0.0	0.07780620741278767	0.0	0.0
log-sigma-5-0-mm-3D	glcm	JointEnergy	0.17746014443752867	0.7674058660270457	1.0	0.3958248803437846	1.0	0.6816170427535209	1.0	1.0
log-sigma-5-0-mm-3D	glcm	JointEntropy	2.863373655899229	0.7650717541470945	-3.2034265038149176e-16	1.5558534050564155	-3.2034265038149176e-16	1.005753355634509	-3.2034265038149176e-16	-3.203426503814917e-16
log-sigma-5-0-mm-3D	glcm	Imc1	-0.465290805016518	-0.23390573268822729	0.0	-0.3925998142486947	0.0	-0.3915158093982407	0.0	0.0
log-sigma-5-0-mm-3D	glcm	Imc2	0.9039194098288845	0.41697911446926494	0.0	0.6981477058567442	0.0	0.6166918981335597	0.0	0.0
log-sigma-5-0-mm-3D	glcm	Idm	0.8691710958731892	0.9585232268029988	1.0	0.9220599535453583	1.0	0.9572760617877845	1.0	1.0
log-sigma-5-0-mm-3D	glcm	Idmn	0.9899362381440915	0.9917046453605997	1.0	0.9688239814181432	1.0	0.9914552123575568	1.0	1.0
log-sigma-5-0-mm-3D	glcm	Id	0.8691710958731892	0.9585232268029988	1.0	0.9220599535453583	1.0	0.9572760617877845	1.0	1.0
log-sigma-5-0-mm-3D	glcm	Idn	0.9563903652910631	0.9792616134014994	1.0	0.9480399690302387	1.0	0.9786380308938921	1.0	1.0
log-sigma-5-0-mm-3D	glcm	InverseVariance	0.2616578082536215	0.08295354639400233	0.0	0.15588009290928365	0.0	0.08544787642443108	0.0	0.0
log-sigma-5-0-mm-3D	glcm	MaximumProbability	0.2825280156618133	0.8728281178456126	1.0	0.5264094734915239	1.0	0.8183459881123246	1.0	1.0
log-sigma-5-0-mm-3D	glcm	SumEntropy	2.6017158476456084	0.6821182077530928	-3.2034265038149176e-16	1.399973312147132	-3.2034265038149176e-16	0.9203054792100785	-3.2034265038149176e-16	-3.203426503814917e-16
log-sigma-5-0-mm-3D	glcm	SumSquares	0.81122662657167	0.07883714504082363	0.0	0.2389984821677752	0.0	0.12378412708446382	0.0	0.0
log-sigma-5-0-mm-3D	glrlm	GrayLevelNonUniformity	637.869032661154	144.47443241470992	23.384615384615383	56.028869553224396	42.92307692307692	220.19568558029687	29.46153846153846	4.25
log-sigma-5-0-mm-3D	glrlm	GrayLevelNonUniformityNormalized	0.30479659079591415	0.7689476342060317	1.0	0.5006587328934221	1.0	0.6639088657497105	1.0	1.0
log-sigma-5-0-mm-3D	glrlm	GrayLevelVariance	0.8400016982324072	0.11953773118791897	0.0	0.24967063355328897	0.0	0.19083200367793138	0.0	0.0
log-sigma-5-0-mm-3D	glrlm	HighGrayLevelRunEmphasis	10.085627542125291	3.6938222713146067	1.0	2.522918633118012	1.0	3.791898216666837	1.0	1.0
log-sigma-5-0-mm-3D	glrlm	LongRunEmphasis	14.525818359114233	20.276168977372556	5.89732638285855	10.06548442118037	10.16444568862998	27.29281889205689	7.381697775265698	2.275
log-sigma-5-0-mm-3D	glrlm	LongRunHighGrayLevelEmphasis	108.68333659648735	79.0612376804531	5.89732638285855	21.37488353928853	10.16444568862998	103.82108631265086	7.381697775265698	2.275
log-sigma-5-0-mm-3D	glrlm	LongRunLowGrayLevelEmphasis	3.610659332088467	5.592215293588395	5.89732638285855	7.238134641653331	10.16444568862998	8.257422185427405	7.381697775265698	2.275
log-sigma-5-0-mm-3D	glrlm	LowGrayLevelRunEmphasis	0.17429456402384605	0.3388579241573258	1.0	0.619270341720497	1.0	0.35714232376781696	1.0	1.0
log-sigma-5-0-mm-3D	glrlm	RunEntropy	4.252703579974602	3.2186562126330944	1.6959567395441164	3.095405858188556	2.0830838015099724	3.737517352362725	1.8102081714811897	0.9304820237218399
log-sigma-5-0-mm-3D	glrlm	RunLengthNonUniformity	464.0772175015241	30.8580876407702	8.003329942330534	27.426206331493667	11.362709268911296	44.4027234791421	9.363338275030111	2.35
log-sigma-5-0-mm-3D	glrlm	RunLengthNonUniformityNormalized	0.21261032726504472	0.1593747222315563	0.33397185030352716	0.23312863232030062	0.25772061169638955	0.1299519294020344	0.30873714284528214	0.545
log-sigma-5-0-mm-3D	glrlm	RunPercentage	0.34449645748987856	0.2636127917026793	0.4676923076923077	0.38199002362824896	0.35769230769230764	0.23801360393739973	0.4208791208791209	0.7083333333333333
log-sigma-5-0-mm-3D	glrlm	RunVariance	4.955543872733949	4.0217600089308725	0.7956591676223724	1.9507223146552901	1.4859933932025071	7.561790800725914	0.9361838060454654	0.2275
log-sigma-5-0-mm-3D	glrlm	ShortRunEmphasis	0.3660396824615328	0.19597400438846566	0.3967315403246995	0.3512168569638926	0.2817037251260921	0.257065432804346	0.3291396013577791	0.68125
log-sigma-5-0-mm-3D	glrlm	ShortRunHighGrayLevelEmphasis	4.610147629875569	0.697540154900808	0.3967315403246995	1.052944665038142	0.2817037251260921	1.157579406602714	0.3291396013577791	0.68125
log-sigma-5-0-mm-3D	glrlm	ShortRunLowGrayLevelEmphasis	0.04140076823094945	0.08289595874635772	0.3967315403246995	0.1757849049453301	0.2817037251260921	0.08110993915182982	0.3291396013577791	0.68125
log-sigma-5-0-mm-3D	glszm	GrayLevelNonUniformity	4.666666666666667	1.5	1.0	1.0	1.0	1.5	1.0	1.0
log-sigma-5-0-mm-3D	glszm	GrayLevelNonUniformityNormalized	0.3888888888888889	0.375	1.0	0.5	1.0	0.375	1.0	1.0
log-sigma-5-0-mm-3D	glszm	GrayLevelVariance	1.8333333333333335	0.6875	0.0	0.25	0.0	0.6875	0.0	0.0
log-sigma-5-0-mm-3D	glszm	HighGrayLevelZoneEmphasis	17.833333333333332	5.75	1.0	2.5	1.0	5.75	1.0	1.0
log-sigma-5-0-mm-3D	glszm	LargeAreaEmphasis	898395.6666666666	110137.5	2500.0	21924.5	14400.0	374207.75	4900.0	36.0
log-sigma-5-0-mm-3D	glszm	LargeAreaHighGrayLevelEmphasis	7719678.5	438824.5	2500.0	45362.0	14400.0	1478096.5	4900.0	36.0
log-sigma-5-0-mm-3D	glszm	LargeAreaLowGrayLevelEmphasis	150554.51622685185	27966.305555555555	2500.0	16065.125	14400.0	98285.84027777778	4900.0	36.0
log-sigma-5-0-mm-3D	glszm	LowGrayLevelZoneEmphasis	0.15122685185185186	0.3680555555555556	1.0	0.625	1.0	0.3680555555555556	1.0	1.0
log-sigma-5-0-mm-3D	glszm	SizeZoneNonUniformity	2.1666666666666665	1.5	1.0	1.0	1.0	1.0	1.0	1.0
log-sigma-5-0-mm-3D	glszm	SizeZoneNonUniformityNormalized	0.18055555555555555	0.375	1.0	0.5	1.0	0.25	1.0	1.0
log-sigma-5-0-mm-3D	glszm	SmallAreaEmphasis	0.3843659145769909	0.5001090774029104	0.0004	4.971541950113379e-05	6.944444444444444e-05	0.0055964785122114055	0.00020408163265306123	0.027777777777777776
